,lat,lon,place_name,total_facility_available_name,large_range_category
46404,37.4768251,126.98158329999998,사당(4)(지하1층 총신대역측) 화장실,장애인용 화장실,화장실
46401,37.487513799999995,126.9821618,총신대입구 화장실,장애인용 화장실,화장실
46398,37.5034647,126.97992649999999,동작 화장실,장애인용 화장실,화장실
46303,37.4966789,127.0717054,학여울 화장실,장애인용 화장실,화장실
46306,37.49368610000001,127.0794787,대청 화장실,장애인용 화장실,화장실
46311,37.4839534,127.08441270000002,일원 화장실,장애인용 화장실,화장실
46314,37.4873499,127.1018416,수서 화장실,장애인용 화장실,화장실
46317,37.4928982,127.1180582,가락시장(게이트 내) 화장실,장애인용 화장실,화장실
46321,37.4983224,127.1256757,경찰병원(게이트 내) 화장실,장애인용 화장실,화장실
46324,37.50324620000001,127.1263422,오금(게이트 내) 화장실,장애인용 화장실,화장실
46327,37.670556299999994,127.0793058,당고개(1층) 화장실,장애인용 화장실,화장실
46330,37.6610953,127.07352560000001,상계 화장실,장애인용 화장실,화장실
46333,37.6558674,127.06199109999999,노원 화장실,장애인용 화장실,화장실
46336,37.6488107,127.034866,쌍문 화장실,장애인용 화장실,화장실
46339,37.6397753,127.0272077,수유 화장실,장애인용 화장실,화장실
46344,37.6298777,127.02471409999998,미아 화장실,장애인용 화장실,화장실
46045,37.5657177,127.00848490000001,동대문역사문화공원(2) 화장실,장애인용 화장실,화장실
46347,37.6151041,127.03004609999999,미아사거리 화장실,장애인용 화장실,화장실
46353,37.5930482,127.01671359999999,성신여대 화장실,장애인용 화장실,화장실
46356,37.49250429999999,126.8949615,대림 화장실,장애인용 화장실,화장실
46359,37.581893,127.0019528,혜화 화장실,장애인용 화장실,화장실
46364,37.5703848,127.009529,동대문(4) 화장실,장애인용 화장실,화장실
46367,37.5644784,127.0071588,동대문역사문화공원(4)(지하1층) 화장실,장애인용 화장실,화장실
46370,37.56115910000001,126.994398,충무로 화장실,장애인용 화장실,화장실
46373,37.560822200000004,126.9853555,명동 화장실,장애인용 화장실,화장실
46378,37.5590295,126.9772521,회현 화장실,장애인용 화장실,화장실
46383,37.535982399999995,126.9713509,서울(4) 화장실,장애인용 화장실,화장실
46386,37.54552750000001,126.97196969999999,숙대입구 화장실,장애인용 화장실,화장실
46389,37.5343935,126.9730142,삼각지 화장실,장애인용 화장실,화장실
46392,37.5293642,126.96829850000002,신용산 화장실,장애인용 화장실,화장실
46395,37.5224811,126.9736707,이촌 화장실,장애인용 화장실,화장실
46350,37.60322539999999,127.02496470000001,길음 화장실,장애인용 화장실,화장실
46042,37.566488799999995,126.996528,을지로4가(2) 화장실,장애인용 화장실,화장실
46039,37.566171000000004,126.9902025,을지로3가(2) 화장실,장애인용 화장실,화장실
46036,37.5660664,126.9820222,을지로입구 화장실,장애인용 화장실,화장실
45687,37.529451588899995,127.126538169,성내하니 근린공원(경로당내) 화장실,장애인용 화장실,화장실
45692,37.562288622,127.178703416,게네수변공원(관리소내) 화장실,장애인용 화장실,화장실
45695,37.552127145,127.130578126,새장터어린이공원 화장실,장애인용 화장실,화장실
45698,37.5500206647,127.125545395,광나루어린이공원 화장실,장애인용 화장실,화장실
45703,37.5547065753,127.173375274,고덕찬 물놀이장(분수광장) 화장실,장애인용 화장실,화장실
45708,37.5675020544,127.16489292799999,고덕야구장 (고덕빗물펌프장) 화장실,장애인용 화장실,화장실
45711,37.5557385056,127.172562814,명일2지구대 뒤 화장실,장애인용 화장실,화장실
45714,37.5483666648,127.131943096,상일공원 화장실,장애인용 화장실,화장실
45717,37.5627434547,127.14680011799999,별장진잎로왼쪽 화장실,장애인용 화장실,화장실
45722,37.5657016898,127.150169894,별장앞 화장실,장애인용 화장실,화장실
45727,37.5598110635,127.167519859,민속의 집 화장실,장애인용 화장실,화장실
45730,37.5591585951,127.159826763,방죽공원 화장실,장애인용 화장실,화장실
45733,37.5612526321,127.14581024600001,산등성이목조식 화장실,장애인용 화장실,화장실
45736,37.5380500481,127.123787385,브라운스톤 천호 화장실,장애인용 화장실,화장실
45739,37.5343350876,127.13619059,홍익빌딩 화장실,장애인용 화장실,화장실
45742,37.5279894662,127.135296625,둔촌역재례시장 화장실,장애인용 화장실,화장실
45745,37.5268837217,127.134697301,파크프라장상가 화장실,장애인용 화장실,화장실
45748,37.5350702422,127.13933276200001,선린빌딩 화장실,장애인용 화장실,화장실
45751,37.534930623600005,127.138535981,동우빌딩 화장실,장애인용 화장실,화장실
45754,37.5346287619,127.13778868600001,중부빌딩 화장실,장애인용 화장실,화장실
45758,37.5352142686,127.13635964,일성오피스텔 화장실,장애인용 화장실,화장실
45762,37.5365858455,127.131365665,힐탑오피스텔 화장실,장애인용 화장실,화장실
45766,37.5372546436,127.129502195,트레벨오피스텔 화장실,장애인용 화장실,화장실
45769,37.5378953122,127.12695976399999,강동빌딩 화장실,장애인용 화장실,화장실
45772,37.5381085546,127.12639439,일동빌딩 화장실,장애인용 화장실,화장실
45775,37.5405535735,127.124977344,대우한강베네시티 화장실,장애인용 화장실,화장실
45778,37.5421682517,127.128256956,동서울 시장 화장실,장애인용 화장실,화장실
45681,37.5597414548,127.16831648799999,동명근린공원 (베드민턴장) 화장실,장애인용 화장실,화장실
45676,37.5614689326,127.164933959,두레근린공원 화장실,장애인용 화장실,화장실
45673,37.5618410456,127.159022104,샘터근린공원(게이트볼장) 화장실,장애인용 화장실,화장실
45670,37.5542406285,127.144710137,샛마을 근린공원 화장실,장애인용 화장실,화장실
45548,37.5128177,126.9260295,대방역 화장실,장애인용 화장실,화장실
45551,37.5161681,126.91540490000001,영등포여고앞 화장실,장애인용 화장실,화장실
45554,37.5149506,126.90571709999999,광야교회 화장실,장애인용 화장실,화장실
45559,37.514939399999996,126.9018973,철제상가 화장실,장애인용 화장실,화장실
45562,37.5139372,126.8859597,철공소공단 화장실,장애인용 화장실,화장실
45567,37.5242862,126.8847172,양평동2가-3 화장실,장애인용 화장실,화장실
45570,37.5240917,126.8846364,양평동2가-2 화장실,장애인용 화장실,화장실
45574,37.5243747,126.88483240000001,양평동2가-1 화장실,장애인용 화장실,화장실
45577,37.5239746,126.88645729999999,양평동1가 화장실,장애인용 화장실,화장실
